trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,fixation.started,key_resp.started,fixation.stopped,tilt,key_resp.keys,key_resp.corr,key_resp.rt,key_resp.duration,participant,session,date,expName,psychopyVersion,frameRate
0,0,0,0,12.1930709,13.2243724,13.2297652,0,up,0,0.7776538,None,559641,1,2023-09-09_20h45.37.141,TUTORIALS 2,2023.1.3,60.00020407
1,0,1,0,14.0207457,15.0208866,15.0208866,-5,up,0,0.3669107,None,559641,1,2023-09-09_20h45.37.141,TUTORIALS 2,2023.1.3,60.00020407
2,0,2,0,15.4206918,16.420707,16.420707,0,up,1,0.4663014,None,559641,1,2023-09-09_20h45.37.141,TUTORIALS 2,2023.1.3,60.00020407
3,0,3,0,16.9040327,17.904236,17.904236,-4,up,0,0.3760931,None,559641,1,2023-09-09_20h45.37.141,TUTORIALS 2,2023.1.3,60.00020407
4,0,4,0,18.3038079,19.3043489,19.3043489,-5,up,0,0.5320014,None,559641,1,2023-09-09_20h45.37.141,TUTORIALS 2,2023.1.3,60.00020407
5,0,5,0,19.8536992,20.8541318,20.8541318,-5,up,0,0.3860776,None,559641,1,2023-09-09_20h45.37.141,TUTORIALS 2,2023.1.3,60.00020407
6,0,6,0,21.2703709,22.2704823,22.2704823,0,up,1,0.4269768,None,559641,1,2023-09-09_20h45.37.141,TUTORIALS 2,2023.1.3,60.00020407
7,0,7,0,22.720293,23.7206922,23.7206922,0,up,1,0.4307052,None,559641,1,2023-09-09_20h45.37.141,TUTORIALS 2,2023.1.3,60.00020407
8,0,8,0,24.1701202,25.1706579,25.1706579,0,up,1,0.4674475,None,559641,1,2023-09-09_20h45.37.141,TUTORIALS 2,2023.1.3,60.00020407
9,0,9,0,25.6699253,26.6703516,26.6703516,0,up,1,0.3837939,None,559641,1,2023-09-09_20h45.37.141,TUTORIALS 2,2023.1.3,60.00020407
10,0,10,0,27.0868741,28.0869133,28.0869133,-1,up,0,0.3306839,None,559641,1,2023-09-09_20h45.37.141,TUTORIALS 2,2023.1.3,60.00020407
11,0,11,0,28.4366263,29.4371665,29.4371665,2,up,0,0.3454778,None,559641,1,2023-09-09_20h45.37.141,TUTORIALS 2,2023.1.3,60.00020407
12,0,12,0,29.8034098,30.8036092,30.8036092,4,down,1,0.585027,None,559641,1,2023-09-09_20h45.37.141,TUTORIALS 2,2023.1.3,60.00020407
13,0,13,0,31.4200598,32.4201188,32.4201188,2,up,0,0.355402,None,559641,1,2023-09-09_20h45.37.141,TUTORIALS 2,2023.1.3,60.00020407
14,0,14,0,32.8030894,33.8035433,33.8035433,0,up,1,0.5020741,None,559641,1,2023-09-09_20h45.37.141,TUTORIALS 2,2023.1.3,60.00020407
15,0,15,0,34.3364964,35.3366404,35.3366404,0,up,1,0.5009389,None,559641,1,2023-09-09_20h45.37.141,TUTORIALS 2,2023.1.3,60.00020407
